ime,visina,vrsta,ogledi,mesto_priljubljenosti,stevilo_slik,stevilo_poti,stevilo_gps_sledi,stevilo_vpisov_v_vpisni_knjigi
Ablanca,2004,vrh,530758,217,11,9,1,1
Adam,2012,vrh,428230,529,1,1,0,1
Ajdovski gradec,580,vrh,5890,2066,10,2,0,
Aljažev dom v Vratih,1015,"koča, bivak, cerkev",540629,197,11,1,1,3
Batognica,2164,vrh,541776,192,6,9,1,6
Bavški Grintavec,2347,vrh,606928,101,16,3,4,2
Bedančev dom,1116,koča,15710,1988,2,1,0,
Begunjski vrh,2461,vrh,524894,239,16,6,1,3
Bela glava,1926,vrh,308606,963,6,1,0,
Bela peč/Monte Bila pec,2146,vrh,400086,622,4,1,1,
Belopotoški slap,720,slap,373779,718,3,1,0,
Belska planina,1237,planina,3580,2149,10,4,0,
Berjanca,1264,vrh,1529,2354,5,5,0,
Bivak Bernardinis,1907,bivak,224383,1285,4,1,0,
Bivak Gorizia,1950,bivak,293547,1020,4,1,0,3
Bivak Hlek,1225,bivak,308912,962,4,2,0,
Bivak Marrusich,2041,"bivak, sedlo",269333,1115,2,2,0,
Bivak na Jezerih,2118,bivak,420852,554,1,1,0,1
Bivak na Rušju,1980,bivak,449210,450,4,1,0,2
Bivak na Črniku,1160,bivak,254794,1172,2,1,0,
Bivak Nogara,1850,bivak,317497,929,4,1,0,
Bivak pod Kotovim sedlom,1965,bivak,407064,599,3,2,0,
Bivak pod Luknjo,1480,bivak,468210,385,4,1,0,
Bivak pod Muzcem,1550,"bivak, sedlo",320273,918,2,1,0,1
Bivak pod Špikom,1424,"koča, bivak",455416,437,2,2,1,
Bivak Stuparich,1587,bivak,238259,1239,2,1,0,
Bivak Suringar,2430,bivak,331530,879,1,2,0,
Bivak Tarvisio,2150,"bivak, sedlo",1659,2332,3,0,0,
Bivak Za Akom,1340,bivak,400946,618,3,1,0,1
Blejska koča na Lipanci,1630,"koča, planina",651825,65,18,5,0,12
Blejski grad,599,,10336,2007,6,1,0,
Blejsko jezero,475,"jezero, cerkev",1630,2341,24,1,0,
Bogatin,1977,vrh,549023,176,10,4,0,
Boršt,931,vrh,4274,2110,9,3,0,
Bovški Gamsovec,2392,vrh,659809,62,5,3,0,5
Brda,2008,vrh,500116,300,9,9,0,7
Brezje / Montemaggiore,819,,144422,1597,2,1,0,
Breški Jalovec / Punta di Montemaggiore,1613,vrh,366933,743,5,2,0,
Briceljk,2346,vrh,434445,505,0,1,0,
Cesar,2098,vrh,410623,590,3,1,0,
Ciprnik,1745,vrh,603522,107,9,4,0,2
Cmir,2393,vrh,528365,225,11,4,0,
Debela peč,2014,vrh,808342,18,10,13,1,18
Debeli vrh nad Lipanco,1962,vrh,458941,423,7,5,0,2
Debeli vrh,2390,vrh,514544,260,12,1,1,1
Dobra gora,620,vrh,295012,1019,4,1,0,
Dolina Škratov,700,,341746,837,10,1,0,
Dolkova špica,2591,vrh,552932,171,17,5,1,1
Dom na Komni,1520,koča,706456,46,10,12,2,11
Dom na Matajure,1545,koča,361978,760,2,2,0,2
Dom Petra Skalarja na Kaninu,2260,koča,446689,461,8,3,0,1
Dom Planika pod Triglavom,2401,koča,596080,116,9,8,0,5
Dom pri Krnskih jezerih,1385,"koča, bivak",549801,174,6,2,0,
Dom v Tamarju,1108,"koča, planina, cerkev",587962,129,10,3,0,14
Dom Valentina Staniča pod Triglavom,2332,"koča, bivak",560543,157,12,10,0,7
Dovški križ,2542,vrh,529462,224,4,2,1,1
Dravh,1547,vrh,427187,531,5,3,1,1
Draški rob,1979,vrh,338299,854,8,2,0,
Drobeče Sleme,2029,vrh,340904,842,1,3,0,3
Dve špici/Due Pizzi,2046,vrh,409240,592,5,1,0,
Erjavčeva koča na Vršiču,1525,koča,485808,339,8,2,0,5
Eva,2019,vrh,437817,492,1,1,0,1
Florjanka / Monte Florianca,1653,"vrh, jezero",2980,2183,5,2,0,
Frdamane police,2284,vrh,388977,667,13,0,0,
Frčkova planina,1335,planina,187483,1432,3,1,0,
Gabrovec,1630,vrh,301922,997,4,1,0,
Galetovec,1265,vrh,511657,270,6,11,0,1
Glava v Zaplanji,2556,vrh,443481,468,3,4,0,1
Glave,1760,vrh,242636,1217,3,2,0,1
Gogalova lipa,725,,2548,2218,3,2,0,
Goličica,2101,vrh,14340,1996,6,1,0,1
Gomiščkovo zavetišče na Krnu,2182,"koča, bivak",469065,383,5,5,0,2
Gorejca,680,slap,324089,902,5,1,0,
Gozdarska koča Mali Vokel,1145,,479,2632,4,3,0,
Gradišče (Bodešče),499,vrh,218903,1308,4,2,0,
Gradovec,1692,vrh,2290,2241,7,4,0,1
Grajska planina (Ribšca),1210,"jezero, planina",890,2505,9,4,0,
Grančišče,844,vrh,289010,1039,11,4,0,1
Gregorčičev slap,390,slap,6490,2055,2,1,0,
Grušnica,1570,vrh,4450,2104,8,5,0,
